model_name,release_year,theme,subtheme,total_pieces,total_mini_figures,availability
Toddler Build and Boat Fun,2014,Duplo,,18,NA,Retail
Knight Tournament,2014,Duplo,,16,NA,Retail
Treasure Attack,2014,Duplo,,46,3,Retail
All-in-One Gift Set,2014,Duplo,,30,NA,Retail
All-in-One-Pink-Box-of-Fun,2014,Duplo,,65,1,Retail
All-in-One-Box-of-Fun,2014,Duplo,,65,1,Retail
Creative Animals,2014,Duplo,,25,NA,Retail
Creative Ice Cream,2014,Duplo,,24,NA,Retail
Creative Building Cube,2014,Duplo,,75,NA,Retail
Zoo Care,2014,Duplo,,9,1,Retail
Big Royal Castle,2014,Duplo,,135,NA,Retail
Clubhouse Cafe,2014,Duplo,,16,NA,Retail
Deluxe Box of Fun,2014,Duplo,,95,2,Retail
Spider-Man: Spider-Car Pursuit,2014,Juniors,,55,2,Retail
Digger,2014,Juniors,,75,1,Retail
Construction,2014,Juniors,,160,1,Retail
The Princess Play Castle,2014,Juniors,,150,1,Retail
Turtle Lair,2014,Juniors,,107,2,Retail
Fire Emergency,2014,Juniors,,123,2,Retail - limited
Batman: Defend the Batcave,2014,Juniors,,150,3,Retail
Race Car Rally,2014,Juniors,,350,2,Retail
Pony Farm,2014,Juniors,,306,1,Retail
Police - The Big Escape,2014,Juniors,,146,3,Retail
Knights' Castle,2014,Juniors,,480,4,Retail
Creative Building Cube,2014,Bricks and More,,600,NA,Retail
Creative Suitcase,2014,Bricks and More,,1000,NA,Retail
The Eiffel Tower,2014,Architecture,Landmark Series,321,NA,Retail
Trevi Fountain,2014,Architecture,Landmark series,731,NA,Retail - limited
NASA Mars Science Laboratory Curiosity Rover,2014,Ideas,,295,NA,LEGO exclusive
The End,2014,Minecraft,Micro World,440,4,Retail - limited
Ghostbusters Ecto-1,2014,Ideas,,508,4,Retail - limited
Exo-Suit,2014,Ideas,,321,2,Retail - limited
Research Institute,2014,Ideas,,165,3,Retail - limited
The Cave,2014,Minecraft,Minifig-scale,249,2,Retail - limited
The Farm,2014,Minecraft,Minifig-scale,262,2,Retail - limited
The First Night,2014,Minecraft,Minifig-scale,408,2,Retail - limited
Crafting Box,2014,Minecraft,Minifig-scale,518,2,Retail - limited
The Ender Dragon,2014,Minecraft,Minifig-scale,634,4,Retail - limited
The Mine,2014,Minecraft,Minifig-scale,922,4,Retail - limited
Town Master,2014,Fusion,,256,1,Not specified
Battle Towers,2014,Fusion,,212,NA,Not specified
Create and Race,2014,Fusion,,223,NA,Not specified
Resort Designer,2014,Fusion,,263,1,Not specified
Apple,2014,Duplo,,6,NA,Retail - limited
Emma's Flower Stand,2014,Friends,,33,1,Retail - limited
Jungle Boat,2014,Friends,,31,1,Retail - limited
Rapunzel's Market Visit,2014,Disney Princess,Tangled,37,1,Retail - limited
Fast Car ,2014,Creator,,56,NA,Promotional
Snowman,2014,Creator,Seasonal,60,NA,Retail - limited
Police Watercraft,2014,City,Police,36,2,Retail - limited
Repair Lift ,2014,City,Traffic,40,1,Retail - limited
Anakin's Jedi Interceptor,2014,Star Wars,Mini building set,45,NA,Retail - limited
Imperial Shuttle,2014,Star Wars,Mini building set,57,NA,Retail - limited
ARC-170 Starfighter,2014,Star Wars,Mini building set,54,NA,Retail - limited
Frax' Phoenix Flyer,2014,Legends of Chima,,32,1,Retail - limited
Worriz' Fire Bike,2014,Legends of Chima,,31,1,Promotional
Mikey's Mini-Shellraiser,2014,Teenage Mutant Ninja Turtles,,47,1,Retail - limited
Super Secret Police Enforcer ,2014,The LEGO Movie,,40,1,Retail - limited
The Batman Tumbler,2014,DC Comics Super Heroes,The Dark Knight Trilogy,57,NA,Retail - limited
Batwing,2014,DC Comics Super Heroes,Batman,45,NA,Retail - limited
Spider-Man,2014,Marvel Super Heroes,Ultimate Spider-Man,45,1,Retail - limited
Red Thunder,2014,Creator,,66,NA,Retail
Power Digger,2014,Creator,,64,NA,Retail
Emerald Express,2014,Creator,,56,NA,Retail
Sunset Speeder,2014,Creator,,119,NA,Retail
Highway Cruiser,2014,Creator,,129,NA,Retail
Forest Animals,2014,Creator,,272,NA,Retail
Twinblade Adventures,2014,Creator,,216,NA,Retail
Furry Creatures,2014,Creator,,285,NA,Retail
Turbo Quad,2014,Creator,,186,NA,Retail
Yellow Racers,2014,Creator,,328,NA,Not specified
Roaring Power,2014,Creator,,374,NA,Retail
Mountain Hut,2014,Creator,,550,1,Retail
Bike Shop & Cafe,2014,Creator,,1023,3,Not specified
LEGO Valentine,2014,Seasonal,Valentines,127,NA,LEGO exclusive
LEGO Easter,2014,Seasonal,Easter,106,NA,LEGO exclusive
Halloween Bat,2014,Seasonal,Halloween,156,NA,LEGO exclusive
Thanksgiving Turkey,2014,Seasonal,Thanksgiving,125,NA,LEGO exclusive
Reindeer,2014,Seasonal,Christmas,139,NA,LEGO exclusive
Snowman,2014,Seasonal,Christmas,140,NA,LEGO exclusive
Snowplough,2014,Promotional,Monthly Mini Model Build,46,NA,LEGO exclusive
Micro Manager,2014,Promotional,Monthly Mini Model Build,50,NA,LEGO exclusive
Spring Tree,2014,Promotional,Monthly Mini Model Build,NA,NA,LEGO exclusive
Helicopter,2014,Promotional,Monthly Mini Model Build,44,NA,LEGO exclusive
Dragon,2014,Promotional,Monthly Mini Model Build,NA,NA,LEGO exclusive
Balloon Cart,2014,Creator,,66,2,Promotional
LEGO City Coin Bank,2014,City,Police,122,1,LEGO exclusive
Model Catwalk,2014,Friends,,144,NA,LEGO exclusive
Buildable Jewellery Box,2014,Friends,,201,NA,Not specified
LEGOLAND Entrance with Family,2014,Promotional,LEGOLAND,320,NA,LEGOLAND exclusive
Hero Robot,2014,HERO Factory,,31,1,Retail - limited
Buildable Brick Box 2x2,2014,Miscellaneous,,203,1,LEGO exclusive
Bricktober Theater,2014,Promotional,Toys R Us,164,NA,Retail - limited
Bricktober Pizza Place,2014,Promotional,Toys R Us,139,NA,Retail - limited
Bricktober Fire Station,2014,Promotional,Toys R Us,175,NA,Retail - limited
Bricktober Town Hall,2014,Promotional,Toys R Us,186,NA,Retail - limited
Sunshine Harvest,2014,Friends,,233,1,Retail
Mia's Lemonade Stand,2014,Friends,,112,1,Retail
Emma's Lifeguard Post,2014,Friends,,78,1,Retail
Stephanie's New Born Lamb,2014,Friends,,78,1,Retail
Olivia's Ice Cream Bike,2014,Friends,,98,1,Retail
Andrea's Mountain Hut,2014,Friends,,119,1,Retail
First Aid Jungle Bike,2014,Friends,Jungle Rescue,156,1,Retail
Jungle Falls Rescue,2014,Friends,Jungle Rescue,183,1,Retail
Summer Caravan,2014,Friends,,297,2,Retail
Heartlake Juice Bar,2014,Friends,,277,2,Retail
Jungle Bridge Rescue,2014,Friends,Jungle Rescue,365,2,Retail
Stephanie's Beach House,2014,Friends,,369,2,Retail
Jungle Rescue Base,2014,Friends,Jungle Rescue,472,2,Retail
Sunshine Ranch,2014,Friends,,721,2,Retail
Friends Advent Calendar,2014,Friends,Seasonal,228,2,Retail - limited
Turtle's Little Paradise,2014,Friends,Animals series 4,43,NA,Retail
Tiger's Beautiful Temple,2014,Friends,Animals series 4,42,NA,Retail
Penguin's Playground,2014,Friends,Animals series 4,46,NA,Retail
Macaw's Fountain,2014,Friends,Animals series 5,39,NA,Retail
Orangutan's Banana Tree,2014,Friends,Animals series 5,37,NA,Retail
Brown Bear's River,2014,Friends,Animals series 5,37,NA,Not specified
Seal's Little Rock,2014,Friends,Animals Series 6,37,NA,Retail
Lion Cub's Savannah,2014,Friends,Animals Series 6,43,NA,Retail
Panda's Bamboo,2014,Friends,Animals Series 6,47,NA,Retail
Ariel's Amazing Treasures,2014,Disney Princess,The Little Mermaid,77,1,Retail
Merida's Highland Games,2014,Disney Princess,Brave,145,1,Retail
Ariel's Magical Kiss,2014,Disney Princess,The Little Mermaid,250,2,Retail
Cinderella's Dream Carriage,2014,Disney Princess,Cinderella,274,1,Retail
Rapunzel's Creativity Tower,2014,Disney Princess,Tangled,299,2,Retail
Cinderella's Romantic Castle,2014,Disney Princess,Cinderella,646,2,Retail
Heartlake News Van,2014,Friends,,278,2,Retail
Heartlake Horse Show,2014,Friends,,355,2,Retail
Heartlake Shopping Mall,2014,Friends,,1120,4,Retail
Jungle Tree Sanctuary,2014,Friends,Jungle Rescue,320,1,Retail
Flain,2014,Mixels,Series 1,58,NA,Retail
Vulk,2014,Mixels,Series 1,69,NA,Retail
Zorch,2014,Mixels,Series 1,45,NA,Retail
Krader,2014,Mixels,Series 1,66,NA,Retail
Seismo,2014,Mixels,Series 1,50,NA,Retail
Shuff,2014,Mixels,Series 1,51,NA,Retail
Teslo,2014,Mixels,Series 1,54,NA,Retail
Zaptor,2014,Mixels,Series 1,61,NA,Retail
Volectro,2014,Mixels,Series 1,70,NA,Retail
Slumbo,2014,Mixels,Series 2,61,NA,Retail
Lunk,2014,Mixels,Series 2,51,NA,Retail
Flurr,2014,Mixels,Series 2,46,NA,Retail
Chomly,2014,Mixels,Series 2,68,NA,Retail
Gobba,2014,Mixels,Series 2,57,NA,Retail
Jawg,2014,Mixels,Series 2,61,NA,Retail
Kraw,2014,Mixels,Series 2,70,NA,Retail
Tentro,2014,Mixels,Series 2,69,NA,Retail
Balk,2014,Mixels,Series 2,68,NA,Retail
Glomp,2014,Mixels,Series 3,64,NA,Retail
Glurt,2014,Mixels,Series 3,62,NA,Retail
Torts,2014,Mixels,Series 3,48,NA,Retail
Footi,2014,Mixels,Series 3,72,NA,Retail
Scorpi,2014,Mixels,Series 3,70,NA,Retail
Hoogi,2014,Mixels,Series 3,69,NA,Retail
Mesmo,2014,Mixels,Series 3,64,NA,Retail
Magnifo,2014,Mixels,Series 3,61,NA,Retail
Wizwuz,2014,Mixels,Series 3,70,NA,Retail
Twin Rotor Helicopter,2014,Technic,,145,NA,Retail
Snowmobile,2014,Technic,,186,NA,Retail
Hot Rod,2014,Technic,,414,NA,Retail
Construction Crew,2014,Technic,,833,NA,Retail
Container Truck,2014,Technic,,948,NA,Retail
Cargo Plane,2014,Technic,,1297,NA,Retail
Black Champion Racer,2014,Technic,,137,NA,Retail
Desert Racer,2014,Technic,,148,NA,Retail
Bulldozer,2014,Technic,,617,NA,Retail
Customised Pick-Up Truck,2014,Technic,,1063,NA,Retail
Volvo L350F Wheel Loader,2014,Technic,,1636,NA,Retail
EVO Walker,2014,HERO Factory,,51,4,Retail
JAW Beast vs. STORMER,2014,HERO Factory,,49,1,Retail
STORMER Freeze Machine,2014,HERO Factory,,88,3,Retail
FURNO Jet Machine,2014,HERO Factory,,79,2,Retail
ROCKA Stealth Machine,2014,HERO Factory,,89,2,Retail
FLYER Beast vs. BREEZ,2014,HERO Factory,,91,1,Retail
SPLITTER Beast vs. FURNO & EVO,2014,HERO Factory,,108,2,Retail
EVO XL Machine,2014,HERO Factory,,193,3,Retail
ROCKA Crawler,2014,HERO Factory,,49,2,Retail
TUNNELER Beast vs. SURGE,2014,HERO Factory,,59,1,Retail
BULK Drill Machine,2014,HERO Factory,,113,2,Retail
CRYSTAL Beast vs. BULK,2014,HERO Factory,,83,1,Retail
BREEZ Flea Machine,2014,HERO Factory,,102,2,Retail
SURGE & ROCKA Combat Machine,2014,HERO Factory,,188,4,Retail
"QUEEN Beast vs. FURNO, EVO & STORMER",2014,HERO Factory,,218,4,Retail
TC-4,2014,Star Wars,Minifig Pack,3,1,Not specified
Martian Manhunter ,2014,DC Comics Super Heroes,Justice League,4,1,Promotional
Dareth vs. Nindroid,2014,Ninjago,,10,2,Promotional
Rocket Raccoon,2014,Marvel Super Heroes,Guardians of the Galaxy,13,1,Not specified
Friends Collection 1,2014,Friends,Product Collection,412,NA,Not specified
2014 Target Minifigure Gift Set,2014,Promotional,,30,4,Promotional
Holiday Ornament Collection,2014,Seasonal,Christmas,NA,NA,Not specified
Arctic Snowmobile,2014,City,Arctic,44,1,Retail
Arctic Ice Crawler,2014,City,Arctic,113,1,Retail
Arctic Helicrane,2014,City,Arctic,262,2,Retail
Arctic Outpost,2014,City,Arctic,374,3,Retail
Arctic Base Camp,2014,City,Arctic,733,7,Retail
Crook Pursuit,2014,City,Police,38,2,Retail
High Speed Police Chase,2014,City,Police,110,3,Retail
Prisoner Transporter,2014,City,Police,196,3,Retail
Mobile Police Unit,2014,City,Police,375,3,Retail
Police Patrol,2014,City,Police,408,3,Retail
Helicopter Surveillance,2014,City,Police,528,5,Retail
Police Station,2014,City,Police,854,7,Retail
Police Dog Unit,2014,City,Police,249,3,Retail - limited
Helicopter Transporter,2014,City,Police,382,4,Retail - limited
Train Station,2014,City,Trains,423,5,Retail
High-Speed Passenger Train,2014,City,Trains,610,3,Retail
Cargo Train,2014,City,Trains,888,4,Retail
Race Car,2014,City,Traffic,100,1,Retail
Light Repair Truck,2014,City,Traffic,95,1,Retail
Monster Truck,2014,City,Traffic,78,1,Retail
Tow Truck,2014,City,Traffic,227,1,Retail
Camper Van,2014,City,Traffic,195,2,Retail
SUV with Watercraft,2014,City,Traffic,219,2,Retail
Logging Truck,2014,City,Traffic,228,2,Retail
Auto Transporter,2014,City,Traffic,350,2,Retail
Airport Fire Truck,2014,City,Traffic,326,2,Retail
Arctic Icebreaker,2014,City,Arctic,717,7,Retail - limited
City Advent Calendar,2014,City,Seasonal,218,7,Retail - limited
Arctic Supply Plane,2014,City,Arctic,374,3,Retail - limited
Rebels Co-Pack,2014,Star Wars,Product Collection,1163,NA,Retail - limited
Lion Legend Beast,2014,Legends of Chima,Legend Beasts,120,1,Retail
Eagle Legend Beast,2014,Legends of Chima,Legend Beasts,104,1,Retail
Gorilla Legend Beast,2014,Legends of Chima,Legend Beasts,106,1,Retail
Crocodile Legend Beast,2014,Legends of Chima,Legend Beasts,121,1,Retail
Wolf Legend Beast,2014,Legends of Chima,Legend Beasts,110,1,Retail
Braptor's Wing Striker,2014,Legends of Chima,,146,2,Retail
Lavertus' Twin Blade,2014,Legends of Chima,,183,2,Retail
Sparratus' Spider Stalker,2014,Legends of Chima,,292,2,Retail
Rogon's Rock Flinger,2014,Legends of Chima,,257,3,Retail
Scorm's Scorpion Stinger,2014,Legends of Chima,,434,3,Retail
Spinlyn's Cavern,2014,Legends of Chima,,407,3,Retail - limited
Lavertus' Outland Base,2014,Legends of Chima,,684,4,Retail
Cragger's Fire Striker,2014,Legends of Chima,,380,3,Retail
Banana Bash,2014,Legends of Chima,Speedorz,120,1,Retail
Bat Strike,2014,Legends of Chima,Speedorz,97,1,Retail
Web Dash,2014,Legends of Chima,Speedorz,78,1,Retail
Sky Launch,2014,Legends of Chima,Speedorz,111,1,Retail
Stinger Duel,2014,Legends of Chima,Speedorz,85,2,Retail
Vardy's Ice Vulture Glider,2014,Legends of Chima,,217,2,Retail
Eris' Fire Eagle Flyer,2014,Legends of Chima,,330,3,Retail
Sir Fangar's Sabre-Tooth Walker,2014,Legends of Chima,,415,3,Retail
Laval's Fire Lion,2014,Legends of Chima,,450,3,Retail
Maula's Ice Mammoth Stomper,2014,Legends of Chima,,604,6,Retail
Flying Phoenix Fire Temple,2014,Legends of Chima,,1301,7,Retail
Sir Fangar's Ice Fortress,2014,Legends of Chima,,670,5,Retail
Scorching Blades,2014,Legends of Chima,Speedorz,77,1,Retail
Flaming Claws,2014,Legends of Chima,Speedorz,74,1,Retail
Frozen Spikes,2014,Legends of Chima,Speedorz,77,1,Retail
Inferno Pit,2014,Legends of Chima,Speedorz,74,1,Retail
Fire vs. Ice,2014,Legends of Chima,Speedorz,102,2,Retail
Riverside Raid,2014,Ultra Agents,,88,2,Retail
Tremor Track Infiltration,2014,Ultra Agents,,241,2,Retail
Infearno Interception,2014,Ultra Agents,,313,2,Retail
Toxikita's Toxic Meltdown,2014,Ultra Agents,,429,4,Retail
Hurricane Heist,2014,Ultra Agents,,589,4,Retail
Ultra Agents Mission HQ,2014,Ultra Agents,,1060,5,Retail
CHI Laval,2014,Legends of Chima,Constraction,49,NA,Retail
CHI Cragger,2014,Legends of Chima,Constraction,58,NA,Retail
CHI Panthar,2014,Legends of Chima,Constraction,59,NA,Retail
CHI Mungus,2014,Legends of Chima,Constraction,64,NA,Retail
CHI Vardy,2014,Legends of Chima,Constraction,68,NA,Retail
CHI Fluminox,2014,Legends of Chima,Constraction,91,NA,Retail
CHI Sir Fangar,2014,Legends of Chima,Constraction,97,NA,Retail
Hover Hunter,2014,Ninjago,,79,2,Retail
Kai Fighter,2014,Ninjago,,196,2,Retail
OverBorg Attack,2014,Ninjago,,207,2,Retail
Thunder Raider,2014,Ninjago,,334,3,Retail
NinjaCopter,2014,Ninjago,,516,4,Retail
Nindroid MechDragon,2014,Ninjago,,691,5,Retail
Destructoid,2014,Ninjago,,253,3,Retail - limited
X-1 Ninja Charger,2014,Ninjago,,426,3,Retail
Battle for Ninjago City,2014,Ninjago,,1223,8,Retail
Getaway Glider,2014,The LEGO Movie,,104,3,Retail
Melting Room,2014,The LEGO Movie,,122,3,Retail
Bad Cop's Pursuit,2014,The LEGO Movie,,314,2,Retail
Cloud Cuckoo Palace,2014,The LEGO Movie,,197,4,Retail
Ice Cream Machine,2014,The LEGO Movie,,344,3,Retail
Trash Chomper,2014,The LEGO Movie,,389,3,Retail
Castle Cavalry,2014,The LEGO Movie,,424,3,Retail
MetalBeard's Duel,2014,The LEGO Movie,,412,3,Retail
Super Cycle Chase,2014,The LEGO Movie,,514,5,Retail
Lord Business' Evil Lair,2014,The LEGO Movie,,738,7,Retail
MetalBeard's Sea Cow,2014,The LEGO Movie,,2741,5,LEGO exclusive
The Flying Flusher,2014,The LEGO Movie,,351,3,Retail - limited
Creative Ambush,2014,The LEGO Movie,,473,4,Retail - limited
Rescue Reinforcements,2014,The LEGO Movie,,859,5,Retail - limited
Emmet's Construct-o-Mech,2014,The LEGO Movie,,708,4,Retail
Super Secret Police Dropship,2014,The LEGO Movie,,854,8,Retail
"Benny's Spaceship, Spaceship, SPACESHIP!",2014,The LEGO Movie,,940,7,Retail
Calamity Drone,2014,Collectable Minifigures,The LEGO Movie Series,7,1,Retail
President Business,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Hard Hat Emmet,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Wild West Wyldstyle,2014,Collectable Minifigures,The LEGO Movie Series,6,1,Retail
Abraham Lincoln,2014,Collectable Minifigures,The LEGO Movie Series,6,1,Retail
Mrs. Scratchen-Post,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Scribble-Face Bad Cop,2014,Collectable Minifigures,The LEGO Movie Series,6,1,Retail
William Shakespeare,2014,Collectable Minifigures,The LEGO Movie Series,7,1,Retail
Gail the Construction Worker,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Larry the Barista,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Velma Staplebot,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Taco Tuesday Guy,2014,Collectable Minifigures,The LEGO Movie Series,9,1,Retail
Where are my pants? Guy,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Wiley Fusebot,2014,Collectable Minifigures,The LEGO Movie Series,7,1,Retail
Panda Guy,2014,Collectable Minifigures,The LEGO Movie Series,5,1,Retail
Marsha Queen of the Mermaids,2014,Collectable Minifigures,The LEGO Movie Series,6,1,Retail
LEGO Minifigures - The LEGO Movie Series - Sealed Box,2014,Collectable Minifigures,The LEGO Movie Series,NA,NA,Not specified
LEGO Minifigures - The Simpsons Series {Random bag},2014,Collectable Minifigures,The Simpsons,NA,NA,Retail
Bart Simpson,2014,Collectable Minifigures,The Simpsons,7,1,Retail
Homer Simpson,2014,Collectable Minifigures,The Simpsons,6,1,Retail
Marge Simpson,2014,Collectable Minifigures,The Simpsons,8,1,Retail
Lisa Simpson,2014,Collectable Minifigures,The Simpsons,6,1,Retail
Maggie Simpson,2014,Collectable Minifigures,The Simpsons,4,1,Retail
Grampa Simpson,2014,Collectable Minifigures,The Simpsons,5,1,Retail
Ned Flanders,2014,Collectable Minifigures,The Simpsons,6,1,Retail
Krusty the Clown,2014,Collectable Minifigures,The Simpsons,5,1,Retail
Milhouse Van Houten,2014,Collectable Minifigures,The Simpsons,5,1,Retail
Ralph Wiggum,2014,Collectable Minifigures,The Simpsons,5,1,Retail
Apu Nahasapeemapetilon,2014,Collectable Minifigures,The Simpsons,5,1,Retail
Nelson Muntz,2014,Collectable Minifigures,The Simpsons,5,1,Retail
Itchy,2014,Collectable Minifigures,The Simpsons,5,1,Retail
Scratchy,2014,Collectable Minifigures,The Simpsons,6,1,Retail
Chief Wiggum,2014,Collectable Minifigures,The Simpsons,6,1,Retail
Mr. Burns,2014,Collectable Minifigures,The Simpsons,6,1,Retail
LEGO Minifigures - The Simpsons Series - Sealed Box,2014,Collectable Minifigures,The Simpsons,NA,NA,Retail
The Simpsons House,2014,The Simpsons,,2523,6,Retail
LEGO Minifigures Series 12 {Random bag},2014,Collectable Minifigures,Series 12,NA,NA,Retail
Video Game Guy,2014,Collectable Minifigures,Series 12,6,1,Retail
Pizza Delivery Man,2014,Collectable Minifigures,Series 12,7,1,Retail
Spooky Girl,2014,Collectable Minifigures,Series 12,7,1,Retail
Space Miner,2014,Collectable Minifigures,Series 12,9,1,Retail
Swashbuckler,2014,Collectable Minifigures,Series 12,7,1,Retail
Rock Star,2014,Collectable Minifigures,Series 12,6,1,Retail
Prospector,2014,Collectable Minifigures,Series 12,7,1,Retail
Wizard,2014,Collectable Minifigures,Series 12,10,1,Retail
Piggy Guy,2014,Collectable Minifigures,Series 12,6,1,Retail
Lifeguard,2014,Collectable Minifigures,Series 12,7,1,Retail
Jester,2014,Collectable Minifigures,Series 12,7,1,Retail
Hun Warrior,2014,Collectable Minifigures,Series 12,9,1,Retail
Genie Girl,2014,Collectable Minifigures,Series 12,6,1,Retail
Battle Goddess,2014,Collectable Minifigures,Series 12,9,1,Retail
Dino Tracker,2014,Collectable Minifigures,Series 12,7,1,Retail
Fairytale Princess,2014,Collectable Minifigures,Series 12,6,1,Retail
Clone Turbo Tank,2014,Star Wars,MicroFighters,96,1,Retail
AAT,2014,Star Wars,MicroFighters,95,1,Retail
Millennium Falcon,2014,Star Wars,MicroFighters,94,1,Retail
TIE Interceptor,2014,Star Wars,MicroFighters,92,1,Retail
X-Wing Fighter,2014,Star Wars,MicroFighters,97,1,Retail
Star Destroyer,2014,Star Wars,MicroFighters,100,1,Retail
Death Star Troopers,2014,Star Wars,Episode IV-VI,83,4,Retail
